Enrollment,Program,CGPA,12th Percentage,Board,Medium of Education,Native,Mode of Transportation,Family Annual Income(in lakhs),laptop,Members Earning in Family,Gender,Disability Status,Family Structure,Number of Students in Family,Intrested in higher studies in India,Interested in Higher Studies Abroad,Education Loan Taken,Father's Occupation,Extracurricular Participation,Achievements/Recognition in Extracurricular Activities,Community Service Participation,Positions of Responsibility Held,Internet Access,Distance from Home to University,Parents' Education Level,Chronic Illness or Disability
1000,FEHS,8.87,52.39,CBSE,Hindi,Surat,Personal car,Above 20,Yes,2,Male,No,Single-parent,2,No,Yes,Yes,Farmer,No,No,Yes,No,No,7.7,Postgraduate,No
1001,BBA,5.62,66.55,ICSE,Hindi,Ahmedabad,University Bus,Below 5,No,1,Female,No,Both parents,5,Yes,No,Yes,Govt. Employee,Yes,Yes,Yes,Yes,Yes,22.1,High School,Yes
1002,BBA,8.25,87.58,State Board,Gujarati,Bharuch,Personal car,Above 20,No,1,Female,No,Orphaned,4,Yes,No,Yes,Business,Yes,No,No,Yes,Yes,44.2,Undergraduate,No
1003,FEHS,6.68,84.37,ICSE,Hindi,Bharuch,Personal car,Below 5,Yes,2,Other,Yes,Orphaned,3,No,Yes,No,Other,Yes,No,Yes,No,No,1.3,Undergraduate,No
1004,FEHS,5.12,77.63,CBSE,English,Vadodara,Public Transport,Below 5,Yes,2,Male,Yes,Single-parent,3,Yes,Yes,Yes,Labour,Yes,No,Yes,No,No,47.4,Undergraduate,No
1005,FEHS,6.86,82.05,CBSE,English,Surat,Public Transport,15-20,Yes,4,Female,No,Orphaned,4,No,No,Yes,Business,No,No,Yes,Yes,No,27.4,Postgraduate,No
1006,FEHS,7.79,63.26,ICSE,Marathi,Ahmedabad,Personal car,Below 5,Yes,1,Female,Yes,Both parents,5,No,No,Yes,Labour,Yes,Yes,No,No,Yes,39.9,Postgraduate,No
1007,BBA,6.8,77.81,State Board,Gujarati,Bharuch,University Bus,5-10,Yes,4,Female,No,Both parents,4,Yes,Yes,Yes,Govt. Employee,Yes,Yes,No,No,No,13.9,High School,No
1008,Chemical,6.5,60.48,State Board,English,Rajkot,University Bus,10-15,No,3,Male,Yes,Single-parent,3,Yes,No,Yes,Labour,Yes,No,No,Yes,Yes,42.1,High School,Yes
1009,CSE,7.34,93.23,ICSE,Hindi,Rajkot,Public Transport,5-10,Yes,1,Female,No,Single-parent,4,Yes,Yes,No,Govt. Employee,No,Yes,No,Yes,Yes,48.6,Postgraduate,Yes
1010,BBA,9.1,62.59,ICSE,Marathi,Rajkot,Public Transport,Below 5,No,5,Female,No,Both parents,3,Yes,Yes,No,Business,No,No,No,Yes,Yes,15.8,Postgraduate,No
